name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge
赵丽颖,ZhaoLiying，Zanilia,丽颖 颖宝 小赵总 赵小刀 丽颖姐姐,中国,汉族,天秤座,A型,165cm,446kg,河北省廊坊市,1987年10月16日,演员 歌手,廊坊市电子信息工程学校,,"花千骨
陆贞传奇
杉杉来了
楚乔传
知否知否应是绿肥红瘦
乘风破浪
西游记女儿国","第28届中国电视金鹰奖观众喜爱的女演员
第24届北京大学生电影节最受大学生欢迎女演员
第08届澳门国际电视节最佳女主角
第03届横店影视文荣奖最佳女主角
第22届上海电视节白玉兰奖最佳女主角提名",登上纽约时代广场 赵丽颖是一位人气与实力兼具的演员。她凭借清丽可爱的外貌深得观众的喜欢，并因此获得了很好的路人缘。随着电视剧《花千骨》的播出，她在影视圈也集聚了更高的人气。作为荧屏花旦中的演技担当，她用心演好每一部戏，靠作品站稳脚跟。她不断磨砺演技，在影视剧中塑造了多个深入人心的角色。她用眼神精准地表达人物，通过富有层次感的表演将剧本上的文字鲜活地呈现给观众。她的表演灵动而不着痕迹，即使是人物设定并不十分讨喜的角色也被她演绎得恰到好处。（腾讯网、网易、中国日报网、《半岛都市报》评） 赵丽颖的表演风格清新自然，她凭借扎实的演技以及情感的真实流露获得观众的认可。她戏路宽广，是一位具有可塑性的演员。在《新还珠格格》中，她用细腻到位的演技诠释了清纯温婉却又不失高贵典雅的晴儿。在电影《宫锁沉香》中，她颠覆甜美形象饰演的反面角色琉璃让她冲破了美貌萌妹子的界定，其演技也有了跨跃式的进步。在电视剧《花千骨》中，她把花千骨每一个人生阶段的尺度和人物状态都拿捏得很准确。在电影《女汉子真爱公式》中，她展现了出色的角色塑造能力，其塑造的人物虽然没有小鸟依人的姿态，但却凭借一往无前的执着而给观众留下深刻的印象。（《晶报》、网易、钟少雄、东北网、北青网、饶俊、中国日报网评） 赵丽颖是荧屏花旦中的正能量担当。她饰演的角色总是以执着、坚忍、又不失青春本色的励志色彩影响着观众。现实生活中的赵丽颖同样是一个执着的人。她有着强大而笃定的心，即使遇到再大的挫折也不放弃坚守的信念。尽管不是科班出身，但是她却对演艺事业充满了热情。她凭借坚持不放弃的心态获得成功，在接连主演了几部收视冠军作品以后，其“国民甜心”与“收视小主”的形象也渐入人心。（中国日报网、《广州日报》、《影视圈》、腾讯网评） 赵丽颖长着一张娃娃脸，眼睛很大，加上经常饰演一些娇俏可爱的小女生，因此给观众留下了可爱、呆萌的印象。但是她在现实中却不是那种柔弱的人。她的性格很爽快，不仅大大咧咧不娇气，而且坚强果断、能吃苦。她是一个很真实的一个人；面对镜头的时候显得有点讷于表达，不会说漂亮和活络气氛的场面话，甚至有时候她显露的真实个性更接近于男生的直接、简单。（《南都娱乐周刊》、张翰、唐丽君、朱茵评） 作为《楚乔传》这个传奇故事的女主角，楚乔是整部剧的灵魂人物，从编剧的角度看，她则是个层次丰富的立体人物。极为考验演员的表演功力。而赵丽颖则细腻地演绎出了楚乔秀外慧中、坚韧果敢、侠骨柔肠等种种侧面，并有机统一为鲜明的个性。戏里，楚乔心系苍生，并追求自我生命价值的实现；拍摄中，作为高颜值流量明星的赵丽颖则亲历亲为地完成了部分动作戏，也使得在一段时间内饱受质疑的明星敬业精神得以回归。（《人民日报海外版》评）
汪峰,,,中华人民共和国,汉,巨蟹座,A型,176cm,,北京市丰台区,1971年06月29日,歌手 音乐人,中央音乐学院,,"花火
勇敢的心
信仰在空中飘扬
河流
在雨中
飞得更高
怒放的生命
存在
一起摇摆
满","东方风云榜最佳男歌手
中歌榜最佳创作男歌手
音乐风云榜最佳男歌手
CCTV-MTV音乐盛典最佳男歌手
全球华语歌曲排行榜最佳制作人展开主要成就东方风云榜最佳男歌手
中歌榜最佳创作男歌手
音乐风云榜最佳男歌手
CCTV-MTV音乐盛典最佳男歌手
全球华语歌曲排行榜最佳制作人
中国内地最佳原创歌手奖
华语音乐传媒大奖最佳摇滚艺人
新浪微博之夜最具影响力男歌手
爱奇艺盛典年度最佳男歌手奖
年度最佳摇滚歌手大奖
亚洲风云歌手大奖
第12届音乐风云榜年度最佳男歌手
华语榜中榜最佳男歌手
最佳国语男歌手
内地最受欢迎歌手
二十年风云成就歌手",离婚碰上天后，告白碰到恒大，汪峰注定一生被抢镜，汪峰的歌铿锵有力。（演员李晨评） 无论是词，无论是曲，每一首歌都是那么的靠谱。（作家、职业赛车手韩寒评） 让人忍不住驻足回望，看看走过的路，想想当年的初衷；端详一下镜子中的自己，是否还认得出原本的样子（媒体人杨澜评）。 而赵宝刚则自称汪峰的音乐是他灵感的源泉。
沈腾,,,中国,汉族,天秤座,,180cm,,黑龙江省齐齐哈尔市,1979年10月23日,编剧 导演 演员,解放军艺术学院（戏剧表演系）,,"飞驰人生
疯狂的外星人
西虹市首富
羞羞的铁拳
夏洛特烦恼
乌龙山伯爵","连续4年登上央视春晚
《欢乐喜剧人》第一季冠军",沈腾写真及部分剧照 沈腾思维灵敏，语言犀利幽默，笑起来的时候，帅气的脸上不自觉地出现几条可爱的褶皱，身边的人戏称他为“沈大爷”。他特有的“沈氏”幽默，迷倒了一拨又一拨的麻花迷们，包袱出人意料，作品有极强的票房号召力。（中国网络电视台评） 沈腾显然是艺人堆里的异类和奇葩，他随心随性地展示自己俗的一面，和粉丝们在微博上玩闹。（新浪娱乐评）沈腾先后在央视春晚舞台上表演了《今天的幸福》和《今天的幸福2》两个小品，搞笑的台词和逗趣的表演获得了不少观众的好评。（新浪娱乐评）沈腾思维敏捷，语言犀利幽默，2012年登陆央视春晚表演小品《今天的幸福》为全国观众带去了欢声笑语。（网易娱乐评） 自2003年出演开心麻花第一部舞台剧《想吃麻花现给你拧》后，他的“麻花”之路就没有停下过，《人在江湖漂》、《索马里海盗》、《乌龙山伯爵》等一系列经典搞笑剧目的上演，让沈腾形成了自己的搞笑风格。而连续三年登上春晚小品舞台，“郝建”的名字深入人心，使他得到了全国观众的喜爱与认可。（网易娱乐评） 连续四年登上央视春晚的舞台，沈腾塑造的“郝建”深入人心，但作为的演员沈腾希望给观众看到他更多的才华。《滚蛋吧！肿瘤君》中的“贱男”、《夏洛特烦恼》中的夏洛，在不同的角色中沈腾体会了不同的人生。（新浪娱乐评）
黄秋生,AnthonyPerry,,中国,中英混血,处女座,A型,180cm,75kg,香港,1961年09月02日,演员,香港演艺学院,,《八仙饭店之人肉叉烧包》《伊波拉病毒》《野兽刑警》等,"两届香港电影金像奖最佳男主角
两届香港电影金紫荆奖最佳男主角
两届香港电影评论学会最佳男主角
两届香港电影金像奖最佳男配角
三届台湾电影金马奖最佳男配角",黄秋生 是香港影坛的一个异类，在香港这样的商业土壤中能够诞生这样一位全面的实力派人物，是非常令人庆幸的，他是那种你只要给他一个上档次的剧本，他就能做到征服人心的鬼才。（人民网娱乐频道评价）。 的思想很难搞，跟他拍戏的时候得让自己思想层次跟他一样。（舒淇评价）。 由于接片过多，所以他的作品中难免掺杂着大量水准不高的劣作，但他认为这些电影只是用来混口饭吃，导演只要把他的造型搞好就足够了。而与陈嘉上、杜琪峰这些大导演合作时，他却会反复按导演的安排来设计表演方式，以达到最完美的程度。有人说假如想从香港找一位可以演话剧《茶馆》的演员，那么这个人就是。（腾讯网评价） 香港演员，曾两次荣获香港电影金像奖最佳男主角奖，但和他演技一样出名的，是他的毒舌。一直以来，都给人心直口快的感觉，他经常无所顾忌地大放厥词，让人不敢接招。（凤凰网评价）
郑伊健,EkinCheng,伊健 伊面,中国,汉族,天秤座,B,179cm,65kg,香港,1967年10月04日,演员 歌手 艺人 明星,,,"古惑仔
风云雄霸天下
第一诫
九龙冰室
中华英雄
笑看风云
天行者
友情岁月","1996-1997年十大中文金曲全年最高销量歌手奖
1985-2005年十大全港最高票房男演员第五
2008年韩国国际电影节最佳男主角
1997-1998两届台湾十大偶像
经典2000年代杰出电影风尚人物展开主要成就1996-1997年十大中文金曲全年最高销量歌手奖
1985-2005年十大全港最高票房男演员第五
2008年韩国国际电影节最佳男主角
1997-1998两届台湾十大偶像
经典2000年代杰出电影风尚人物
1995-1997年十大中文金曲十大优秀流行歌手大奖",郑伊健个人照 唯一长发而好看的男子，唱歌进步慢，但他声底好，试放多些时间去练声练唱，他便早已上位，跳舞也要学好些。他最大的优点是有观众缘。（师父罗文评） 郑伊健因拍摄《古惑仔》系列电影，成为众人追捧的对象，并开启了香港地区电影的一个“江湖”时代，也在无数影迷心中留下了难忘的回忆。电影中的郑伊健，演古惑仔时有型有款，成熟稳重，做歌手唱歌时则情深款款，与现实中的他判若两人。郑伊健有着纯真性情，面对媒体的许多问题他拒绝得直接、不留情面，让气氛陷入尴尬中，自己却处之泰然。并且习惯以一种毫不掩饰的不信任的眼神逼视着坐在自己对面的人。个性强、憎恶分明、不擅做表面功夫，所以总是让自己身处极端境地。有深交的人，觉得他内心坦荡透明碰一两次面的，又觉得他是只刺猬，处处伤人。经受过大起大落的他早已适应了人生的变化莫测。入行以后也没野心，通达而又随遇而安，从不想做事做足100分，只希望拍戏拍好一点唱歌唱好一点，在进步便可以。（搜狐娱乐评） 他以人品良好，好相处、不计较著称，对人真诚有礼，除了有些寡言，爱玩游戏之外，从未爆出其他任何不良嗜好。他并不花心，某些程度上，更属于性格过分单纯。对于爱情，当然不像他对待电玩游戏那样贪新厌旧。进一步说，他其实很易满足，相处时间长了，甚至会给女伴有些闷的感觉。他很低调，不太能说，也不怎么出来宣传，相对比较内向。但人很好，基本上也挖不出什么负面新闻来。而在与每一位女友交往期间，不爱交际应酬的他也很少传出其他绯闻，对女友相当一心一意，照顾有加。
赵本山,ZhaoBenshan,本山大叔,中华人民共和国,汉族,天秤座,B型,175cm,70kg,辽宁省开原市,1957年01月01日,演员 导演 编剧 制片人 监制 出品人 商人,,,"刘老根
马大帅
乡村爱情
大笑江湖
月牙儿","十五次央视春晚一等奖
华表奖优秀男演员奖
百花奖最佳男主角奖
二人转国家非物质文化遗产传承人
MTV超级盛典内地最具风格男演员展开主要成就十五次央视春晚一等奖
华表奖优秀男演员奖
百花奖最佳男主角奖
二人转国家非物质文化遗产传承人
MTV超级盛典内地最具风格男演员
“十佳”演员第一名",赵本山 赵本山及其小品艺术拨动了时代的笑神经，使中华民族迎来了一个大规模的笑的时代，好多艺术家都是由民间产生，赵本山是个大艺术家，他在刚刚出名的时候我就有这个感觉。我真希望中国能有更多的文化名人，由每一个文化的起点出发，不断地提升、提升，然后他和他生活的那块土地上的文化都达到了一个新的高度。（余秋雨评价） 赵本山的喜剧小品连续多年获得中央电视台春节晚会一等奖，被观众誉为“小品王”、“东方卓别林”、“红笑星”、“中国笑星”等（中国新闻网评价）。赵本山艺德高尚，成功不忘家乡，先后为灾区、为家乡希望工程修路捐款近千万元。《刘老根》《刘老根2》电视剧中担任导演和主角，把中国影视喜剧向前推进一大步。把乡间的笑声带上了中央电视台春节晚会，使辽北小品这一带着原生态的幽默诙谐和泥土芳香的新鲜艺术样式，是20世纪80年代以来获得国人最多笑声和掌声的小品演员。（人民网评价） 赵本山这个人有“手艺”，但是不代表他有喜剧精神，他有不少作品是垃圾。其实在东北很多人说话都很逗，也有这门“手艺”，赵本山的运气好倒是真的。（上海戏剧学院教授、著名编剧赵耀民） “从我对他的认识和了解，我觉得这个人特别棒，是个百年不遇的人才。”（崔永元评价） 赵本山还只是一个笑匠、一个小品“暴发户”。（南京前线文工团著名编剧姚远与南大董健教授）
董卿,DongQing,卿宝 卿姐 小董 董老师,中华人民共和国,汉族,天蝎座,,169cm,50kg,上海市闸北区,1973年11月17日,主持人,华东师范大学、上海戏剧学院,,,华东师范大学兼职教授,赵忠祥：“董卿是一位很优秀的主持人。董卿主持节目，我对她的评价是8个字：端庄、得体、大气、知性。”
李君妍,Aurora,华仔 露娜,中国,,双鱼座,,164cm,49kg,香港,,演员,,,《爱·回家》《耀舞长安》,,
陈钰琪,Yukee,,中国,汉族,狮子座,,,,四川成都,,演员,四川大学锦城学院,,"锦绣未央
侠捕",中国电视剧品质盛典“年度新锐剧星”,陈钰琪《侠捕》 陈钰琪外表清新亮丽、眼眸清澈灵动。陈钰琪在《锦绣未央》中将九公主鬼马调皮，活泼可爱、重情重义的形象演绎的很是到位；并凭此给观众留下深刻印象。（搜狐、新浪评） 陈钰琪是一个很文静很乖巧的女孩，生活中的她自主有想法。陈钰琪在舞台上发光发热的时候就会感性地去发挥，用心扮演角色，有灵气，有思想，做到了一个优秀演员要求的理性和感性的结合。（四川大学锦城学院黄澄、陈欢评）
杨紫,YangZi,杨旎奥 奥奥,中国,汉族,天蝎座,A型,167cm,,北京市,1992年11月06日,演员 歌手,北京电影学院,,"家有儿女
战长沙
欢乐颂
香蜜沉沉烬如霜","第14届中国电影表演艺术学会金凤凰奖新人奖
南都娱乐周刊“90后四小花旦”之一
2018微博之夜微博年度女神
第23届上海电视节白玉兰奖最佳女配角奖提名",杨紫夏日悠悠写真 在《家有儿女》之后，杨紫选择将时间和心思花在学习上，在北影接受一系列专业训练。从业十年，她一直没有脸谱化自己的性格和演技，所以身上也没有束缚自由的固定标签。她在荧幕上不断尝试颠覆突破，在表演技法上更是逐渐娴熟，尤其善于使用情绪转变，对每一个角色的情绪层次感把控分寸恰当。随着时间的推移，杨紫也逐渐开始尝试更多高难度作品，她凭借一步步踏实走出来的认知度以及不断进步的演技，影视、时尚、商业资源也越来越好（腾讯网评）。 杨紫用十年时间，逐渐让观众忘记了当年的邻家妹妹小雪，而这十年，她一直在努力磨练演技，力求做到不让自己被贴上固有的标签，作品也逐渐显露现实、正剧的“中正”风格。而她对于演技的收放自如，对于角色的深刻认识，更为角色赋予了更加多样的元素，增添了不少意料之外的亮点。各种角色同时在荧幕出现，却不会让人有串戏的错觉，足以见得杨紫挑选剧本的眼光以及这十年对于演技的磨炼（搜狐网评）。
